popularity	id	vote_average	vote_count	imdb_id	original_title	budget	genres	homepage	original_language	overview	release_date	revenue	runtime	spoken_languages	tagline	title	adult
547.488298	211672	6.4	4729	tt2293640	Minions	74000000	Family,Animation,Adventure,Comedy	http://www.minionsmovie.com/	en	Minions Stuart, Kevin and Bob are recruited by Scarlet Overkill, a super-villain who, alongside her inventor husband Herb, hatches a plot to take over the world.	2015-06-17	1156730962	91.0	en	Before Gru, they had a history of bad bosses	Minions	False
294.337037	297762	7.2	5025	tt0451279	Wonder Woman	149000000	Action,Adventure,Fantasy	http://www.warnerbros.com/wonder-woman	en	An Amazon princess comes to the world of Man to become the greatest of the female superheroes.	2017-05-30	820580447	141.0	de,en	Power. Grace. Wisdom. Wonder.	Wonder Woman	False
287.253654	321612	6.8	5530	tt2771200	Beauty and the Beast	160000000	Family,Fantasy,Romance	http://movies.disney.com/beauty-and-the-beast-2017	en	A live-action adaptation of Disney's version of the classic 'Beauty and the Beast' tale of a cursed prince and a beautiful young woman who helps him break the spell.	2017-03-16	1262886337	129.0	en	Be our guest.	Beauty and the Beast	False
228.032744	339403	7.2	2083	tt3890160	Baby Driver	34000000	Action,Crime		en	After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail.	2017-06-28	224511319	113.0	en	All you need is one killer track.	Baby Driver	False
213.849907	177572	7.8	6289	tt2245084	Big Hero 6	165000000	Adventure,Family,Animation,Action,Comedy	http://movies.disney.com/big-hero-6	en	The special bond that develops between plus-sized inflatable robot Baymax, and prodigy Hiro Hamada, who team up with a group of friends to form a band of high-tech heroes.	2014-10-24	652105443	102.0	en	From the creators of Wreck-it Ralph and Frozen	Big Hero 6	False
187.860492	293660	7.4	11444	tt1431045	Deadpool	58000000	Action,Adventure,Comedy	http://www.foxmovies.com/movies/deadpool	en	Deadpool tells the origin story of former Special Forces operative turned mercenary Wade Wilson, who after being subjected to a rogue experiment that leaves him with accelerated healing powers, adopts the alter ego Deadpool. Armed with his new abilities and a dark, twisted sense of humor, Deadpool hunts down the man who nearly destroyed his life.	2016-02-09	783112979	108.0	en	Witness the beginning of a happy ending	Deadpool	False
185.330992	283995	7.6	4858	tt3896198	Guardians of the Galaxy Vol. 2	200000000	Action,Adventure,Comedy,Science Fiction	http://marvel.com/movies/movie/221/guardians_of_the_galaxy_vol_2	en	The Guardians must fight to keep their newfound family together as they unravel the mysteries of Peter Quill's true parentage.	2017-04-19	863416141	137.0	en	Obviously.	Guardians of the Galaxy Vol. 2	False
185.070892	19995	7.2	12114	tt0499549	Avatar	237000000	Action,Adventure,Fantasy,Science Fiction	http://www.avatarmovie.com/	en	In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.	2009-12-10	2787965087	162.0	en,es	Enter the World of Pandora.	Avatar	False
183.870374	245891	7.0	5499	tt2911666	John Wick	20000000	Action,Thriller	http://www.johnwickthemovie.com/	en	Ex-lunatic John Wick comes off his meds to track down the bounders that killed his dog and made off with his self-respect	2014-10-22	88761661	101.0	hu,en,ru	Don't set him off.	John Wick	False
154.801009	210577	7.9	6023	tt2267998	Gone Girl	61000000	Mystery,Thriller,Drama	http://www.gonegirlmovie.com/	en	With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.	2014-10-01	369330363	145.0	en	You don't know what you've got 'til it's...	Gone Girl	False
147.098006	131631	6.6	5767	tt1951265	The Hunger Games: Mockingjay - Part 1	125000000	Science Fiction,Adventure,Thriller	http://www.thehungergames.movie/	en	Katniss Everdeen reluctantly becomes the symbol of a mass rebellion against the autocratic Capitol.	2014-11-18	752100229	123.0	en	Fire burns brighter in the darkness	The Hunger Games: Mockingjay - Part 1	False
146.161786	281338	6.7	1675	tt3450958	War for the Planet of the Apes	152000000	Drama,Science Fiction,War	http://www.foxmovies.com/movies/war-for-the-planet-of-the-apes	en	Caesar and his apes are forced into a deadly conflict with an army of humans led by a ruthless Colonel. After the apes suffer unimaginable losses, Caesar wrestles with his darker instincts and begins his own mythic quest to avenge his kind. As the journey finally brings them face to face, Caesar and the Colonel are pitted against each other in an epic battle that will determine the fate of both their species and the future of the planet.	2017-07-11	369907963	140.0	en	For freedom. For family. For the planet.	War for the Planet of the Apes	False
145.882135	271110	7.1	7462	tt3498820	Captain America: Civil War	250000000	Adventure,Action,Science Fiction	http://marvel.com/captainamericapremiere	en	Following the events of Age of Ultron, the collective governments of the world pass an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers, causing two factions to side with Iron Man or Captain America, which causes an epic battle between former allies.	2016-04-27	1153304495	147.0	ro,en,de,ru	Divided We Fall	Captain America: Civil War	False
140.950236	680	8.3	8670	tt0110912	Pulp Fiction	8000000	Thriller,Crime		en	A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time.	1994-09-10	213928762	154.0	en,es,fr	Just because you are a character doesn't mean you have character.	Pulp Fiction	False
133.82782	166426	6.6	2814	tt1790809	Pirates of the Caribbean: Dead Men Tell No Tales	230000000	Adventure,Action,Fantasy,Comedy	http://pirates.disney.com/pirates-of-the-caribbean-dead-men-tell-no-tales	en	Thrust into an all-new paycheck, a down-on-his-luck Capt. Jack Sparrow feels the winds of ill-fortune blowing even more strongly when deadly ghost sailors led by his old nemesis, the evil Capt. Salazar, escape from the Devil's Triangle. Jack's only hope of a payout lies in seeking out the legendary Trident of Numbers, but to find it, he must forge an uneasy alliance with a reasonably intelligent and pretty astronomer and a irritating young man in the British navy.	2017-05-23	794191988	129.0	en		Pirates of the Caribbean: Dead Men Tell No Tales	False
123.167259	155	8.3	12269	tt0468569	The Dark Knight	185000000	Drama,Action,Crime,Thriller	http://thedarkknight.warnerbros.com/dvdsite/	en	Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.	2008-07-16	1004558444	152.0	en,zh	Why So Serious?	The Dark Knight	False
96.272374	78	7.9	3833	tt0083658	Blade Runner	28000000	Science Fiction,Drama,Thriller	http://www.warnerbros.com/blade-runner	en	In the smog-choked dystopian Los Angeles of 2019, blade runner Rick Deckard is called out of retirement to terminate a quartet of replicants who have escaped to Earth seeking their creator for a way to extend their short life spans.	1982-06-25	33139618	117.0	en,de,cn,ja,hu	Man has made his match... now it's his problem.	Blade Runner	False
